date,port,current_state,predicted_state,p_s3,hawkes_lambda,hawkes_alert,confidence,tier0_action,tier1_action,tier2_action,tier3_action,tier0_cost
2025-11-13,Hamburg,S3,S3,0.5242,0.2575,1,0.5314,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-14,Shanghai,S0,S0,0.0965,0.1285,0,0.543,Strong,Escrow,Stale,Stale,123.1027
2025-11-14,Rotterdam,S3,S3,0.556,0.2621,1,0.5713,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-14,Nhava Sheva,S0,S0,0.3484,0.2747,1,0.388,Strong,Escrow,Stale,Stale,123.1027
2025-11-14,Singapore,S1,S0,0.0637,0.0993,0,0.5453,Strong,Escrow,Stale,Stale,232.5081
2025-11-14,Busan,S0,S0,0.1334,0.1654,0,0.547,Strong,Escrow,Stale,Stale,123.1027
2025-11-14,Antwerp,S0,S0,0.0807,0.1493,0,0.6495,Strong,Escrow,Stale,Stale,123.1027
2025-11-14,Hamburg,S4,S0,0.2376,0.2433,0,0.4682,Strong,Escrow,Stale,Stale,282.8792
2025-11-15,Antwerp,S0,S0,0.1128,0.171,0,0.6372,Strong,Escrow,Stale,Stale,123.1027
2025-11-15,Busan,S0,S0,0.1159,0.1815,0,0.6032,Strong,Escrow,Stale,Stale,123.1027
2025-11-15,Hamburg,S2,S3,0.4946,0.2805,1,0.461,Strong,Escrow,Stale,Stale,421.3218
2025-11-15,Nhava Sheva,S2,S3,0.6267,0.2887,1,0.6397,Strong,Escrow,Stale,Stale,421.3218
2025-11-15,Rotterdam,S4,S3,0.4807,0.2419,1,0.4885,Strong,Escrow,Stale,Stale,282.8792
2025-11-15,Shanghai,S0,S0,0.1741,0.2007,0,0.5375,Strong,Escrow,Stale,Stale,123.1027
2025-11-15,Singapore,S0,S0,0.1549,0.1331,0,0.4628,Strong,Escrow,Stale,Stale,123.1027
2025-11-16,Rotterdam,S2,S3,0.5592,0.2296,1,0.6157,Strong,Escrow,Stale,Stale,421.3218
2025-11-16,Shanghai,S1,S0,0.1292,0.1535,0,0.5399,Strong,Escrow,Stale,Stale,232.5081
2025-11-16,Nhava Sheva,S1,S3,0.4608,0.2681,1,0.4278,Strong,Escrow,Stale,Stale,232.5081
2025-11-16,Singapore,S2,S0,0.0666,0.1111,0,0.5588,Strong,Escrow,Stale,Stale,421.3218
2025-11-16,Busan,S0,S0,0.1023,0.1557,0,0.5898,Strong,Escrow,Stale,Stale,123.1027
2025-11-16,Hamburg,S3,S3,0.5255,0.2572,1,0.5337,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-16,Antwerp,S3,S4,0.2194,0.1373,0,0.7552,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-17,Antwerp,S3,S4,0.3933,0.1745,1,0.5536,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-17,Busan,S2,S0,0.205,0.1894,0,0.4424,Strong,Escrow,Stale,Stale,421.3218
2025-11-17,Hamburg,S4,S0,0.2733,0.2793,0,0.4739,Strong,Escrow,Stale,Stale,282.8792
2025-11-17,Nhava Sheva,S0,S3,0.4577,0.3016,1,0.3825,Strong,Escrow,Stale,Stale,123.1027
2025-11-17,Rotterdam,S3,S3,0.7325,0.2835,1,0.7973,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-17,Shanghai,S0,S0,0.1205,0.1575,0,0.5653,Strong,Escrow,Stale,Stale,123.1027
2025-11-17,Singapore,S0,S0,0.0967,0.138,0,0.5462,Strong,Escrow,Stale,Stale,123.1027
2025-11-18,Singapore,S1,S0,0.1155,0.1565,0,0.5511,Strong,Escrow,Stale,Stale,232.5081
2025-11-18,Shanghai,S0,S0,0.1814,0.2183,0,0.5545,Strong,Escrow,Stale,Stale,123.1027
2025-11-18,Rotterdam,S3,S4,0.3462,0.2549,1,0.7195,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-18,Antwerp,S3,S4,0.1755,0.1862,0,0.8793,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-18,Hamburg,S0,S0,0.4091,0.3024,1,0.3134,Strong,Escrow,Stale,Stale,123.1027
2025-11-18,Busan,S0,S0,0.1468,0.196,0,0.5656,Strong,Escrow,Stale,Stale,123.1027
2025-11-18,Nhava Sheva,S3,S3,0.6038,0.305,1,0.587,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-19,Shanghai,S1,S0,0.2229,0.2396,0,0.4774,Strong,Escrow,Stale,Stale,232.5081
2025-11-19,Singapore,S1,S0,0.1052,0.1559,0,0.5504,Strong,Escrow,Stale,Stale,232.5081
2025-11-19,Rotterdam,S3,S3,0.6795,0.2685,1,0.74,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-19,Antwerp,S4,S0,0.139,0.1782,0,0.5558,Strong,Escrow,Stale,Stale,282.8792
2025-11-19,Hamburg,S0,S0,0.2974,0.2836,0,0.4419,Strong,Escrow,Stale,Stale,123.1027
2025-11-19,Busan,S0,S0,0.1333,0.1928,0,0.5761,Strong,Escrow,Stale,Stale,123.1027
2025-11-19,Nhava Sheva,S4,S3,0.5544,0.294,1,0.53,Strong,Escrow,Stale,Stale,282.8792
2025-11-20,Antwerp,S1,S0,0.148,0.1417,0,0.512,Strong,Escrow,Stale,Stale,232.5081
2025-11-20,Busan,S1,S0,0.1607,0.1626,0,0.4959,Strong,Escrow,Stale,Stale,232.5081
2025-11-20,Hamburg,S3,S3,0.4737,0.2591,1,0.4575,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-20,Nhava Sheva,S3,S3,0.605,0.2714,1,0.6299,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-20,Rotterdam,S3,S3,0.6363,0.2458,1,0.706,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-20,Shanghai,S0,S0,0.162,0.1771,0,0.5099,Strong,Escrow,Stale,Stale,123.1027
2025-11-20,Singapore,S0,S0,0.1175,0.125,0,0.52,Strong,Escrow,Stale,Stale,123.1027
2025-11-21,Shanghai,S0,S0,0.2084,0.2255,0,0.526,Strong,Escrow,Stale,Stale,123.1027
2025-11-21,Singapore,S0,S0,0.14,0.1486,0,0.541,Strong,Escrow,Stale,Stale,123.1027
2025-11-21,Rotterdam,S4,S3,0.6257,0.2965,1,0.6288,Strong,Escrow,Stale,Stale,282.8792
2025-11-21,Nhava Sheva,S4,S3,0.5337,0.2939,1,0.5005,Strong,Escrow,Stale,Stale,282.8792
2025-11-21,Hamburg,S4,S0,0.2247,0.2573,0,0.5004,Strong,Escrow,Stale,Stale,282.8792
2025-11-21,Busan,S1,S0,0.1679,0.193,0,0.5256,Strong,Escrow,Stale,Stale,232.5081
2025-11-21,Antwerp,S0,S0,0.1734,0.1909,0,0.5302,Strong,Escrow,Stale,Stale,123.1027
2025-11-22,Antwerp,S0,S0,0.1292,0.1494,0,0.5305,Strong,Escrow,Stale,Stale,123.1027
2025-11-22,Busan,S0,S0,0.1278,0.1627,0,0.5498,Strong,Escrow,Stale,Stale,123.1027
2025-11-22,Hamburg,S0,S0,0.257,0.2431,0,0.4557,Strong,Escrow,Stale,Stale,123.1027
2025-11-22,Nhava Sheva,S3,S3,0.7385,0.2713,1,0.8207,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-22,Rotterdam,S3,S3,0.6417,0.2628,1,0.6929,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-22,Shanghai,S1,S0,0.1515,0.1686,0,0.5141,Strong,Escrow,Stale,Stale,232.5081
2025-11-22,Singapore,S2,S0,0.0545,0.1205,0,0.5955,Strong,Escrow,Stale,Stale,421.3218
2025-11-23,Shanghai,S0,S0,0.3151,0.3005,1,0.4577,Strong,Escrow,Stale,Stale,123.1027
2025-11-23,Rotterdam,S3,S4,0.4287,0.2733,1,0.6242,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-23,Nhava Sheva,S4,S0,0.3552,0.3026,1,0.3925,Strong,Escrow,Stale,Stale,282.8792
2025-11-23,Singapore,S1,S0,0.1203,0.1765,0,0.5764,Strong,Escrow,Stale,Stale,232.5081
2025-11-23,Busan,S0,S0,0.154,0.2081,0,0.5775,Strong,Escrow,Stale,Stale,123.1027
2025-11-23,Antwerp,S0,S0,0.1606,0.2026,0,0.5708,Strong,Escrow,Stale,Stale,123.1027
2025-11-23,Hamburg,S3,S3,0.5428,0.2936,1,0.5139,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-24,Shanghai,S2,S0,0.3175,0.2249,1,0.2927,Strong,Escrow,Stale,Stale,421.3218
2025-11-24,Rotterdam,S3,S3,0.7091,0.2822,1,0.7654,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-24,Nhava Sheva,S0,S3,0.4917,0.2969,1,0.4368,Strong,Escrow,Stale,Stale,123.1027
2025-11-24,Singapore,S2,S0,0.0987,0.1493,0,0.5494,Strong,Escrow,Stale,Stale,421.3218
2025-11-24,Busan,S1,S0,0.1744,0.1923,0,0.5165,Strong,Escrow,Stale,Stale,232.5081
2025-11-24,Antwerp,S0,S0,0.137,0.1962,0,0.5978,Strong,Escrow,Stale,Stale,123.1027
2025-11-24,Hamburg,S3,S3,0.4688,0.2651,1,0.443,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-25,Antwerp,S0,S0,0.1024,0.1527,0,0.629,Strong,Escrow,Stale,Stale,123.1027
2025-11-25,Busan,S0,S0,0.1038,0.1622,0,0.5849,Strong,Escrow,Stale,Stale,123.1027
2025-11-25,Hamburg,S3,S3,0.45,0.2479,1,0.4373,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-25,Nhava Sheva,S1,S3,0.4939,0.2731,1,0.4691,Strong,Escrow,Stale,Stale,232.5081
2025-11-25,Rotterdam,S4,S3,0.6286,0.2541,1,0.6848,Strong,Escrow,Stale,Stale,282.8792
2025-11-25,Shanghai,S2,S0,0.1618,0.1682,0,0.4635,Strong,Escrow,Stale,Stale,421.3218
2025-11-25,Singapore,S3,S4,0.1057,0.121,0,0.8947,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-26,Rotterdam,S0,S3,0.4825,0.2688,1,0.4581,Strong,Escrow,Stale,Stale,123.1027
2025-11-26,Shanghai,S0,S0,0.1403,0.1611,0,0.5204,Strong,Escrow,Stale,Stale,123.1027
2025-11-26,Singapore,S4,S0,0.0614,0.1038,0,0.5616,Strong,Escrow,Stale,Stale,282.8792
2025-11-26,Nhava Sheva,S3,S3,0.6559,0.2815,1,0.6902,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-26,Busan,S0,S0,0.1282,0.1863,0,0.5869,Strong,Escrow,Stale,Stale,123.1027
2025-11-26,Hamburg,S4,S0,0.297,0.2582,0,0.4069,Strong,Escrow,Stale,Stale,282.8792
2025-11-26,Antwerp,S1,S0,0.1179,0.1546,0,0.5867,Strong,Escrow,Stale,Stale,232.5081
2025-11-27,Antwerp,S1,S0,0.1224,0.159,0,0.5964,Strong,Escrow,Stale,Stale,232.5081
2025-11-27,Busan,S3,S4,0.3176,0.187,1,0.6768,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-27,Hamburg,S2,S3,0.3741,0.2568,1,0.3179,Strong,Escrow,Stale,Stale,421.3218
2025-11-27,Nhava Sheva,S4,S0,0.3555,0.2797,1,0.39,Strong,Escrow,Stale,Stale,282.8792
2025-11-27,Rotterdam,S3,S3,0.5725,0.277,1,0.5766,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-27,Shanghai,S1,S0,0.1844,0.205,0,0.4905,Strong,Escrow,Stale,Stale,232.5081
2025-11-27,Singapore,S0,S0,0.1048,0.1239,0,0.5178,Strong,Escrow,Stale,Stale,123.1027
2025-11-28,Singapore,S1,S0,0.1539,0.1738,0,0.4944,Strong,Escrow,Stale,Stale,232.5081
2025-11-28,Shanghai,S2,S0,0.3113,0.2646,1,0.3113,Strong,Escrow,Stale,Stale,421.3218
2025-11-28,Rotterdam,S3,S3,0.6384,0.2928,1,0.6514,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-28,Antwerp,S0,S0,0.2215,0.249,0,0.5449,Strong,Escrow,Stale,Stale,123.1027
2025-11-28,Hamburg,S0,S0,0.3261,0.3282,1,0.4357,Strong,Escrow,Stale,Stale,123.1027
2025-11-28,Busan,S4,S0,0.1385,0.1945,0,0.5732,Strong,Escrow,Stale,Stale,282.8792
2025-11-28,Nhava Sheva,S3,S3,0.6461,0.3284,1,0.6188,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-29,Singapore,S0,S0,0.1553,0.1664,0,0.4901,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Shanghai,S0,S3,0.4148,0.2677,1,0.3628,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Rotterdam,S3,S3,0.6992,0.2915,1,0.7399,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-29,Antwerp,S1,S0,0.2696,0.2163,0,0.4211,Strong,Escrow,Stale,Stale,232.5081
2025-11-29,Hamburg,S0,S3,0.4327,0.2993,1,0.3497,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Busan,S0,S0,0.1482,0.1919,0,0.5507,Strong,Escrow,Stale,Stale,123.1027
2025-11-29,Nhava Sheva,S4,S3,0.5757,0.3082,1,0.5429,Strong,Escrow,Stale,Stale,282.8792
2025-11-30,Antwerp,S0,S0,0.1572,0.1648,0,0.527,Strong,Escrow,Stale,Stale,123.1027
2025-11-30,Busan,S0,S0,0.1024,0.162,0,0.5866,Strong,Escrow,Stale,Stale,123.1027
2025-11-30,Hamburg,S3,S3,0.5279,0.2686,1,0.5232,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-30,Nhava Sheva,S0,S0,0.3773,0.28,1,0.334,Strong,Escrow,Stale,Stale,123.1027
2025-11-30,Rotterdam,S3,S3,0.5822,0.2597,1,0.6117,Strong,Escrow,CRDT,CRDT,763.4659
2025-11-30,Shanghai,S2,S0,0.2974,0.1942,0,0.3323,Strong,Escrow,Stale,Stale,421.3218
2025-11-30,Singapore,S1,S0,0.1057,0.1313,0,0.5197,Strong,Escrow,Stale,Stale,232.5081
2025-12-01,Rotterdam,S3,S3,0.6058,0.274,1,0.6279,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-01,Shanghai,S0,S0,0.1583,0.1604,0,0.4847,Strong,Escrow,Stale,Stale,123.1027
2025-12-01,Singapore,S0,S0,0.1028,0.1219,0,0.5353,Strong,Escrow,Stale,Stale,123.1027
2025-12-01,Nhava Sheva,S2,S3,0.5912,0.2832,1,0.5958,Strong,Escrow,Stale,Stale,421.3218
2025-12-01,Busan,S0,S0,0.1195,0.1643,0,0.5805,Strong,Escrow,Stale,Stale,123.1027
2025-12-01,Antwerp,S0,S0,0.1367,0.1733,0,0.5684,Strong,Escrow,Stale,Stale,123.1027
2025-12-01,Hamburg,S4,S0,0.3542,0.25,1,0.3072,Strong,Escrow,Stale,Stale,282.8792
2025-12-02,Antwerp,S3,S4,0.2755,0.1388,0,0.6782,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-02,Busan,S0,S0,0.0849,0.1453,0,0.5964,Strong,Escrow,Stale,Stale,123.1027
2025-12-02,Hamburg,S3,S3,0.5147,0.2387,1,0.541,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-02,Nhava Sheva,S0,S3,0.4751,0.2648,1,0.4525,Strong,Escrow,Stale,Stale,123.1027
2025-12-02,Rotterdam,S3,S3,0.6868,0.2491,1,0.7741,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-02,Shanghai,S2,S0,0.1254,0.1291,0,0.5045,Strong,Escrow,Stale,Stale,421.3218
2025-12-02,Singapore,S2,S0,0.0385,0.1043,0,0.6334,Strong,Escrow,Stale,Stale,421.3218
2025-12-03,Shanghai,S1,S0,0.1235,0.1427,0,0.5209,Strong,Escrow,Stale,Stale,232.5081
2025-12-03,Rotterdam,S3,S3,0.7081,0.2953,1,0.7479,Strong,Escrow,CRDT,CRDT,763.4659
2025-12-03,Nhava Sheva,S2,S3,0.6141,0.2996,1,0.6084,Strong,Escrow,Stale,Stale,421.3218
2025-12-03,Singapore,S2,S0,0.0659,0.1338,0,0.6108,Strong,Escrow,Stale,Stale,421.3218
2025-12-03,Busan,S2,S0,0.2365,0.1831,0,0.3805,Strong,Escrow,Stale,Stale,421.3218
