date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric,era
2019-01-03,3,3,2,0,1,0.0,0.0,131304,52109,0,0,1612,0,2383,825,0,0,Nhava Sheva,9,185025,3208,0.3,181817,20.0,298484.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-03,27,1,13,8,49,0.0,0.0,259722,29763,3233,2205,647089,159094,0,7895,5514,92425,Rotterdam,98,942012,264928,0.2727272727272727,677084,3.5557149273956417,1727720.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-03,27,44,16,2,20,0.0,0.0,327128,586230,21562,414,45818,158776,261935,34600,4389,17881,Shanghai,109,981152,477581,0.24545454545454545,503571,2.0544157861895966,1404836.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-03,39,1,4,3,69,0.0,0.0,719668,0,6663,252,804011,534879,4593,1929,899,368893,Singapore,116,1530594,911193,0.3333333333333333,619401,1.679767426036607,-139138.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,pre_covid
2019-01-04,9,0,4,3,39,0.0,0.0,258683,0,3812,358,168080,24469,0,0,4031,55972,Antwerp,55,430933,84472,0.16071428571428573,346461,5.101428858925337,539336.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-04,30,2,8,2,9,0.0,0.0,282115,10586,6162,138,23525,129788,7339,4638,718,5511,Busan,51,322526,147994,0.5769230769230769,174532,2.179303354843069,149044.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-04,9,1,4,1,6,0.0,0.0,254548,86587,1070,0,79132,35278,0,3673,435,4760,Hamburg,21,421337,44146,0.4090909090909091,377191,9.543955421659456,974923.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-04,4,5,1,0,6,0.0,0.0,100222,46683,1752,0,146584,54783,0,0,0,0,Nhava Sheva,16,295241,54783,0.23529411764705882,240458,5.389182973130841,538942.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,pre_covid
2019-01-04,20,2,14,7,46,0.0,0.0,161496,84292,5515,2091,267856,142987,0,5983,1190,125838,Rotterdam,89,521250,275998,0.2222222222222222,245252,1.8885937992528958,1972972.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
2019-01-04,16,20,15,3,11,0.0,0.0,141047,314496,18427,1242,86547,320807,272523,13534,4304,52677,Shanghai,65,561759,663845,0.24242424242424243,-102086,0.846218851962654,1302750.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,pre_covid
