date,calls_container,calls_dry_bulk,calls_general_cargo,calls_roro,calls_tanker,7-day_moving_average,prior_year_7-day_moving_average,incoming_dwt_container,incoming_dwt_dry_bulk,incoming_dwt_general_cargo,incoming_dwt_roro,incoming_dwt_tanker,outgoing_dwt_container,outgoing_dwt_dry_bulk,outgoing_dwt_general_cargo,outgoing_dwt_roro,outgoing_dwt_tanker,port,total_calls,total_incoming_dwt,total_outgoing_dwt,container_ratio,net_dwt_flow,congestion_score,queue_buildup_7d,ma_7day,prior_year_ma,yoy_pct_change,anomaly_flag,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score,disruption_count,disruption_flag,state,state_numeric,t_numeric
2023-01-03,45,2,7,5,65,123.0,114.85714285714286,324110,0,3856,252,682912,715985,7501,4466,4551,263298,Singapore,124,1011130,995801,0.36,15329,1.015392618211251,1878770.0,123.0,114.85714285714286,7.089552238805967,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,2.0
2023-01-03,17,2,10,3,49,75.14285714285714,81.57142857142857,68053,184839,9285,0,488167,205114,0,1473,0,112199,Rotterdam,81,750344,318786,0.2073170731707317,431558,2.3537471728771875,2982176.0,75.14285714285714,81.57142857142857,-7.880910683012261,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,2.0
2023-01-03,33,2,6,0,6,57.85714285714285,51.0,110572,3597,7853,0,14171,225948,0,2152,0,1698,Busan,47,136193,229798,0.6875,-93605,0.5926614127998816,351248.0,57.85714285714285,51.0,13.445378151260485,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,2.0
2023-01-03,8,0,5,0,1,15.571428571428571,17.714285714285715,81057,0,2222,0,0,100986,0,4611,0,2882,Hamburg,14,83279,108479,0.5333333333333333,-25200,0.7676898967551622,-10253.0,15.571428571428571,17.714285714285715,-12.096774193548393,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,2.0
2023-01-03,9,1,13,5,32,53.142857142857146,62.0,78478,0,14893,6711,39432,182819,0,9886,6900,34874,Antwerp,60,139514,234479,0.14754098360655737,-94965,0.5949931763903105,618932.0,53.142857142857146,62.0,-14.285714285714283,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,2.0
2023-01-03,7,4,4,1,6,21.571428571428573,18.0,71128,47821,7669,0,11203,293434,0,568,0,0,Nhava Sheva,22,137821,294002,0.30434782608695654,-156181,0.4687741281551549,377014.0,21.571428571428573,18.0,19.84126984126985,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,2.0
2023-01-04,14,4,6,4,35,52.57142857142857,61.142857142857146,213342,40498,1461,0,61525,99607,9836,10387,3479,155022,Antwerp,63,316826,278331,0.21875,38495,1.138302458933935,731688.0,52.57142857142857,61.142857142857146,-14.018691588785053,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,3.0
2023-01-04,33,1,7,0,11,56.142857142857146,52.0,212893,18501,5903,0,12695,224788,0,5091,0,7128,Busan,52,249992,237007,0.6226415094339622,12985,1.0547829609127117,230334.0,56.142857142857146,52.0,7.967032967032973,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,3.0
2023-01-04,9,1,3,0,5,15.428571428571429,17.428571428571427,55222,70274,2771,0,74826,228257,0,1072,0,12212,Hamburg,18,203093,241541,0.47368421052631576,-38448,0.8408185739954128,-33159.0,15.428571428571429,17.428571428571427,-11.475409836065564,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,3.0
2023-01-04,7,5,3,0,8,21.428571428571427,18.142857142857142,8458,131700,5381,0,198403,305212,0,568,0,43875,Nhava Sheva,23,343942,349655,0.2916666666666667,-5713,0.9836582240830988,249334.0,21.428571428571427,18.142857142857142,18.110236220472437,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,3.0
2023-01-04,12,3,14,8,49,76.57142857142857,80.14285714285714,69324,96200,12399,368,711730,54541,6228,26174,14004,131131,Rotterdam,86,890021,232078,0.13793103448275862,657943,3.8349915330555544,3419274.0,76.57142857142857,80.14285714285714,-4.456327985739748,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,3.0
2023-01-04,34,30,15,3,27,109.28571428571428,99.57142857142856,200032,446130,31150,414,104498,228957,192892,9731,4947,61736,Shanghai,109,782224,498263,0.3090909090909091,283961,1.5698986882455888,721223.0,109.28571428571428,99.57142857142856,9.75609756097562,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,3.0
2023-01-04,45,3,9,0,65,121.42857142857144,114.71428571428572,650728,1614,1928,0,381619,523429,0,9699,0,244514,Singapore,122,1035889,777642,0.36585365853658536,258247,1.3320881175552277,1644694.0,121.42857142857144,114.71428571428572,5.853051058530517,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1,3.0
2023-01-05,38,42,15,4,30,113.14285714285714,103.57142857142856,404535,612310,31994,606,90725,159040,245476,13462,4499,95808,Shanghai,129,1140170,518285,0.2923076923076923,621885,2.199885777350729,1592738.0,113.14285714285714,103.57142857142856,9.241379310344842,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,4.0
2023-01-05,44,2,4,3,86,125.57142857142856,113.85714285714286,785560,26081,2587,522,804373,781351,6016,4347,1793,381077,Singapore,139,1619123,1174584,0.3142857142857143,444539,1.3784638829884597,1436435.0,125.57142857142856,113.85714285714286,10.288582183186932,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1,4.0
2023-01-05,8,4,7,0,6,21.571428571428573,18.285714285714285,140018,109290,6868,0,166704,91191,2383,568,0,10013,Nhava Sheva,25,422880,104155,0.3076923076923077,318725,4.060063750528054,352092.0,21.571428571428573,18.285714285714285,17.968750000000014,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,4.0
2023-01-05,21,6,14,4,48,76.0,81.71428571428571,330239,135459,11114,0,747484,86392,33395,7194,10676,152959,Rotterdam,93,1224296,290616,0.22340425531914893,933680,4.212747361647804,3908420.0,76.0,81.71428571428571,-6.993006993006986,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,4.0
2023-01-05,30,2,12,0,13,56.285714285714285,52.57142857142857,176988,39691,11869,0,37032,111257,3669,4141,0,7811,Busan,57,265580,126878,0.5172413793103449,138702,2.093175387573988,375534.0,56.285714285714285,52.57142857142857,7.06521739130435,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,4.0
2023-01-05,13,2,6,4,42,56.0,61.42857142857143,193674,38275,2540,2901,75376,200686,0,3240,5052,79061,Antwerp,67,312766,288039,0.19117647058823528,24727,1.0858422441327593,654831.0,56.0,61.42857142857143,-8.837209302325585,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,4.0
2023-01-05,12,2,3,0,4,15.857142857142858,17.0,141104,186938,7309,0,46470,137464,0,3155,0,5994,Hamburg,21,381821,146613,0.5454545454545454,235208,2.6042601661505724,367445.0,15.857142857142858,17.0,-6.722689075630249,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,4.0
2023-01-06,12,2,7,2,35,56.57142857142857,60.71428571428572,328910,5782,8355,0,36373,353396,0,5251,5087,114462,Antwerp,58,379420,478196,0.2033898305084746,-98776,0.7934386874028905,-79991.0,56.57142857142857,60.71428571428572,-6.823529411764722,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,5.0
2023-01-06,32,2,10,1,8,55.85714285714285,51.42857142857143,118151,380,10991,178,54269,197237,1754,3062,348,7444,Busan,53,183969,209845,0.5925925925925926,-25876,0.8766857600335484,450978.0,55.85714285714285,51.42857142857143,8.611111111111088,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,5.0
2023-01-06,7,1,1,0,3,15.285714285714286,16.714285714285715,14058,18975,0,0,1160,36504,0,7919,0,4494,Hamburg,12,34193,48917,0.5384615384615384,-14724,0.6989860583016476,279052.0,15.285714285714286,16.714285714285715,-8.547008547008549,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,5.0
2023-01-06,6,3,7,1,4,21.571428571428573,18.428571428571427,93467,52598,9773,3072,35910,102217,0,1137,0,0,Nhava Sheva,21,194820,103354,0.2727272727272727,91466,1.8849596052440618,358591.0,21.571428571428573,18.428571428571427,17.054263565891493,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,5.0
2023-01-06,20,4,16,7,43,79.42857142857143,84.42857142857143,173895,114943,6743,1705,247890,45093,81135,8325,13704,126086,Rotterdam,90,545176,274343,0.21978021978021978,270833,1.9871985536406847,3890502.0,79.42857142857143,84.42857142857143,-5.922165820642978,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,5.0
2023-01-06,35,46,20,4,19,114.85714285714286,105.71428571428572,490542,345473,34164,5570,102378,307439,277550,37862,9213,23644,Shanghai,124,978127,655708,0.28,322419,1.4917089745603613,1830281.0,114.85714285714286,105.71428571428572,8.648648648648644,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,5.0
2023-01-06,33,1,6,5,64,123.28571428571428,113.0,142350,9962,2394,2537,878916,731197,0,7777,2808,310117,Singapore,109,1036159,1051899,0.3,-15740,0.9850356497765947,1404168.0,123.28571428571428,113.0,9.102402022755998,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,5.0
2023-01-07,38,2,6,3,72,123.42857142857144,112.57142857142856,570156,34866,10847,252,477565,680041,0,1982,5370,286664,Singapore,121,1093686,974057,0.3114754098360656,119629,1.1228140418743031,921922.0,123.42857142857144,112.57142857142856,9.644670050761452,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,6.0
2023-01-07,24,0,10,4,50,82.0,85.71428571428571,315386,0,3895,193,537895,138795,0,5164,4654,133116,Rotterdam,88,857369,281729,0.2696629213483146,575640,3.0432293330493736,4312262.0,82.0,85.71428571428571,-4.333333333333327,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,6.0
2023-01-07,7,3,7,0,3,22.142857142857142,18.142857142857142,307598,27576,5749,0,68699,130193,0,4776,0,0,Nhava Sheva,20,409622,134969,0.3333333333333333,274653,3.0349114618063275,507962.0,22.142857142857142,18.142857142857142,22.04724409448819,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,6.0
2023-01-07,42,40,9,3,23,114.57142857142856,107.42857142857144,262838,517824,8935,3045,101241,345340,390899,8108,0,54849,Shanghai,117,893883,799196,0.3559322033898305,94687,1.118476420707285,1674815.0,114.57142857142856,107.42857142857144,6.648936170212735,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,6.0
2023-01-07,35,5,12,0,9,55.71428571428572,52.0,115182,7625,8421,0,27711,73575,8282,4380,0,3939,Busan,61,158939,90176,0.5645161290322581,68763,1.762522594453131,380347.0,55.71428571428572,52.0,7.142857142857159,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,6.0
2023-01-07,15,3,10,2,35,58.85714285714285,62.42857142857143,114187,136990,6170,716,248859,251558,0,12335,3544,76690,Antwerp,65,506922,344127,0.22727272727272727,162795,1.473062348893435,370904.0,58.85714285714285,62.42857142857143,-5.720823798627022,0,,0.0,0.0,0.0,0.0,0.0,0,0,S1,1,6.0
2023-01-07,7,2,1,0,1,15.142857142857142,18.0,225079,78050,0,0,0,55141,117,1471,0,1470,Hamburg,11,303129,58199,0.5833333333333334,244930,5.20840206185567,515641.0,15.142857142857142,18.0,-15.873015873015875,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,6.0
2023-01-08,40,3,5,6,59,123.85714285714286,113.85714285714286,783880,22738,9437,0,447641,520515,54163,1666,8765,122111,Singapore,113,1263696,707220,0.3508771929824561,556476,1.7868473928234596,1523420.0,123.85714285714286,113.85714285714286,8.782936010037641,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,7.0
2023-01-08,17,4,11,4,37,84.85714285714286,90.14285714285714,500798,82969,18690,1229,536921,85913,5628,4116,4597,129504,Rotterdam,73,1140607,229758,0.22972972972972974,910849,4.964362658263659,4360307.0,84.85714285714286,90.14285714285714,-5.863708399366077,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,7.0
2023-01-08,5,2,5,0,4,21.571428571428573,17.142857142857142,153143,68207,0,0,45685,102869,0,3249,0,0,Nhava Sheva,16,267035,106118,0.29411764705882354,160917,2.5163731282805153,752529.0,21.571428571428573,17.142857142857142,25.833333333333346,0,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,7.0
2023-01-08,39,38,10,6,19,115.28571428571428,108.0,81313,177998,18808,606,86983,320431,370719,17775,10411,18210,Shanghai,112,365708,737546,0.34513274336283184,-371838,0.49584365470946257,1013036.0,115.28571428571428,108.0,6.746031746031739,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,7.0
2023-01-08,39,1,15,2,9,57.142857142857146,53.285714285714285,165136,5293,12416,316,11165,234745,3669,4124,1067,12699,Busan,66,194326,256304,0.582089552238806,-61978,0.7581826339712452,163071.0,57.142857142857146,53.285714285714285,7.238605898123332,0,,0.0,0.0,0.0,0.0,0.0,0,0,S0,0,7.0
2023-01-08,14,1,10,3,26,60.85714285714285,63.85714285714285,445995,0,13067,604,85011,208701,0,3499,4558,84965,Antwerp,54,544677,301723,0.2545454545454545,242954,1.8052160252416116,592978.0,60.85714285714285,63.85714285714285,-4.697986577181209,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,7.0
2023-01-08,10,1,4,0,7,16.571428571428573,18.142857142857142,364028,0,8,0,66296,253611,31671,5723,0,13012,Hamburg,22,430332,304017,0.43478260869565216,126315,1.415481978040774,565425.0,16.571428571428573,18.142857142857142,-8.661417322834634,0,,0.0,0.0,0.0,0.0,0.0,0,0,S4,4,7.0
2023-01-09,44,44,16,4,35,120.42857142857144,109.71428571428572,330134,839413,18368,414,109046,363507,131139,16336,4190,41074,Shanghai,143,1297375,556246,0.3055555555555556,741129,2.3323721296474407,1521790.0,120.42857142857144,109.71428571428572,9.765625000000007,1,,0.0,0.0,0.0,0.0,0.0,0,0,S3,3,8.0
2023-01-09,10,3,6,1,33,60.0,61.42857142857143,242349,141706,1921,0,139190,199000,0,24423,1948,63703,Antwerp,53,525166,289074,0.18518518518518517,236092,1.816711925970769,511322.0,60.0,61.42857142857143,-2.3255813953488405,0,,0.0,0.0,0.0,0.0,0.0,0,0,S2,2,8.0
