state,n_rows,container,dry_bulk,general_cargo,roro,tanker
S0,2903,244509.06992766104,90306.03341370996,8879.095763003788,816.9993110575267,134044.44987943507
S1,1162,365956.8752151463,141662.53184165232,10114.187607573149,908.7581755593803,187033.65060240965
S2,922,339274.31561822124,140597.94468546638,9553.188720173535,819.5336225596529,153505.2852494577
S3,2323,232481.47481704692,112410.18854928971,7766.401205337925,737.2901420576841,241839.88893671977
S4,1258,172794.64308426072,71912.22337042926,6714.464228934818,608.8203497615262,122714.50079491256
