iteration,delta
199,0.0013542918942448523
200,0.0012865772996519809
201,0.0012222484346011697
202,0.0011611360129109016
203,0.0011030792122710409
204,0.0010479252516688575
205,0.0009955289890513086
206,0.0009457525395646371
207,0.0008984649125522992
208,0.0008535416668564721
209,0.0008108645835136485
210,0.0007703213543663878
211,0.0007318052867049119
212,0.0006952150224606157
213,0.0006604542713830597
214,0.0006274315577456946
215,0.0005960599798982003
216,0.0005662569808464468
217,0.0005379441317927558
218,0.0005110469253395422
219,0.0004854945789247722
220,0.0004612198499671649
221,0.0004381588576052309
222,0.0004162509145544391
223,0.00039543836896882567
224,0.00037566645039532887
225,0.0003568831280063023
226,0.00033903897156051244
227,0.0003220870230506989
228,0.0003059826718754266
229,0.000290683538310077
230,0.00027614936141162616
231,0.00026234189317619894
232,0.00024922479860833846
233,0.0002367635586324468
234,0.0002249253807349305
235,0.00021367911165270925
236,0.00020299515620081365
237,0.00019284539837371995
238,0.00018320312847208697
239,0.0001740429719347958
240,0.00016534082340058376
241,0.00015707378236129443
242,0.00014922009313522722
243,0.00014175908847846586
244,0.00013467113421938848
245,0.00012793757741746958
246,0.00012154069850112137
247,0.00011546366351922188
248,0.00010969048048536933
249,0.00010420595640425745
250,9.899565861815063e-05
251,9.404587569861178e-05
252,8.934358197620895e-05
253,8.487640286602982e-05
254,8.063258269430662e-05
255,7.66009535482226e-05
256,7.277090594470792e-05
257,6.9132360522417e-05
258,6.56757424621901e-05
259,6.23919553390806e-05
260,5.927235770286643e-05
261,5.630873977224837e-05
262,5.34933028575324e-05
263,5.0818637646443676e-05
264,4.827770578685886e-05
265,4.586382056004368e-05
266,4.357062948656676e-05
267,4.139209806908184e-05
268,3.932249308036262e-05
269,3.735636846613488e-05
270,3.548855011104024e-05
271,3.3714122537276126e-05
272,3.2028416399043635e-05
273,3.0426995522248035e-05
274,2.8905645876875496e-05
275,2.7460363526188303e-05
276,2.608734541809099e-05
277,2.4782978130133415e-05
278,2.354382911562425e-05
279,2.2366637722370797e-05
280,2.124830587035831e-05
281,2.018589066210552e-05
282,1.9176596197212348e-05
283,1.821776629640226e-05
284,1.7306877907685703e-05
285,1.6441533944089315e-05
286,1.5619457258253533e-05
287,1.4838484503343352e-05
288,1.4096560335019603e-05
289,1.3391732295531256e-05
290,1.2722145697807719e-05
291,1.2086038395864307e-05
292,1.1481736464702408e-05
293,1.0907649652835971e-05
294,1.0362267175878515e-05
295,9.84415385119064e-06
296,9.351946118840715e-06
297,8.884348858373414e-06
298,8.440131296083564e-06
299,8.018124844966223e-06
300,7.617218557243177e-06
301,7.236357646434044e-06
302,6.874539735690632e-06
303,6.530812697747024e-06
304,6.2042722674959805e-06
305,5.894058517696976e-06
306,5.599355631602521e-06
307,5.319388037605677e-06
308,5.053418590250658e-06
309,4.8007474333644495e-06
310,4.560710181067407e-06
311,4.332674734541797e-06
312,4.116040940971288e-06
313,3.910238888238382e-06
314,3.7147269722481724e-06
315,3.5289906463731313e-06
316,3.3525411708978936e-06
317,3.1849141350903665e-06
318,3.0256683203333523e-06
319,2.8743849043166847e-06
320,2.7306657557346625e-06
321,2.5941324111045105e-06
322,2.464425847392704e-06
323,2.3412046630255645e-06
324,2.2241442820813973e-06
325,2.1129370679773274e-06
326,2.0072902771062218e-06
327,1.9069257177761756e-06
328,1.811579522836837e-06
329,1.7210004443768412e-06
330,1.6349504221579991e-06
331,1.5532029919995693e-06
332,1.4755428310309071e-06
333,1.4017657576914644e-06
334,1.3316773674887372e-06
335,1.2650934877456166e-06
336,1.2018388133583358e-06
337,1.1417469067964703e-06
338,1.0846595159819117e-06
339,1.0304265742888674e-06
340,9.789052910491591e-07
