iteration,delta
0,76.346588
1,47.80316760557949
2,40.571599944236624
3,34.709161543937
4,31.459966135155014
5,29.125769056418903
6,27.32214743742861
7,25.791520909546875
8,24.425149293218567
9,23.16784020834308
10,21.992561258964656
11,20.88501635567991
12,19.83705525673804
13,18.84346341761784
14,17.90047515162655
15,17.005069356035563
16,16.1546368270308
17,15.346821059446086
18,14.579440670178428
19,13.85045019970687
20,13.15791904829939
21,12.500019045641238
22,11.875016195006197
23,11.281264495495975
24,10.71720085368986
25,10.181340615542467
26,9.672273493151351
27,9.188659775554584
28,8.729226766651095
29,8.292765418885551
30,7.878127143519919
31,7.48422078427177
32,7.110009744086824
33,6.754509256427355
34,6.416783793392483
35,6.095944603623138
36,5.791147373395006
37,5.501590004703189
38,5.226510504457792
39,4.965184979229889
40,4.7169257302663254
41,4.4810794437519235
42,4.257025471563793
43,4.044174197985399
44,3.841965488086089
45,3.649867213681773
46,3.467373852997639
47,3.2940051603477514
48,3.129304902330432
49,2.9728396572139673
50,2.8241976743531723
51,2.6829877906355932
52,2.548838401103808
53,2.4213964810485322
54,2.3003266569961625
55,2.1853103241462577
56,2.076044807938956
57,1.9722425675420254
58,1.8736304391650265
59,1.7799489172066387
60,1.6909514713463523
61,1.6064038977791597
62,1.526083702890105
63,1.4497795177456965
64,1.3772905418585424
65,1.3084260147654732
66,1.2430047140271654
67,1.1808544783258412
68,1.121811754409464
69,1.065721166689059
70,1.0124351083546799
71,0.9618133529369288
72,0.9137226852899403
73,0.8680365510255115
74,0.8246347234744462
75,0.783402987300633
76,0.7442328379355558
77,0.7070211960387951
78,0.6716701362367985
79,0.6380866294250609
80,0.6061822979536373
81,0.5758731830559327
82,0.547079523903335
83,0.5197255477081626
84,0.4937392703227488
85,0.4690523068064749
86,0.4455996914662137
87,0.42331970689292575
88,0.4021537215483022
89,0.3820460354709212
90,0.3629437336973069
91,0.34479654701249274
92,0.32755671966174305
93,0.31117888367884916
94,0.2956199394948271
95,0.28083894252006303
96,0.2667969953940883
97,0.2534571456244521
98,0.24078428834320675
99,0.22874507392600663
100,0.2173078202298484
101,0.20644242921832756
102,0.19612030775726907
103,0.18631429236938857
104,0.1769985777510783
105,0.16814864886350733
106,0.15974121642034333
107,0.15175415559929206
108,0.1441664478193161
109,0.13695812542835029
110,0.13011021915701804
111,0.12360470819908187
112,0.11742447278913914
113,0.11155324914977882
114,0.10597558669212503
115,0.10067680735755857
116,0.0956429669897716
117,0.0908608186401807
118,0.08631777770813187
119,0.0820018888227878
120,0.07790179438165978
121,0.07400670466267911
122,0.07030636942954516
123,0.06679105095804516
124,0.06345149841013153
125,0.06027892348970454
126,0.05726497731507152
127,0.05440172844942026
128,0.05168164202700609
129,0.049097559925598944
130,0.046642681929370156
131,0.04431054783287891
132,0.04209502044113833
133,0.03999026941926331
134,0.037990755948271726
135,0.036091218150772875
136,0.03428665724322855
137,0.03257232438113533
138,0.03094370816211267
139,0.029396522753927457
140,0.027926696616191293
141,0.02653036178548973
142,0.025203843696203876
143,0.023943651511331154
144,0.02274646893579302
145,0.021609145489037473
146,0.020528688214653812
147,0.01950225380392112
148,0.018527141113736434
149,0.017600784058004137
150,0.016720744855092562
151,0.01588470761237204
152,0.01509047223169091
153,0.014335948620214367
154,0.013619151189118384
155,0.012938193629679517
156,0.012291283948229648
157,0.011676719750767006
158,0.011092883763240025
159,0.01053823957511213
160,0.01001132759643042
161,0.009510761216574792
162,0.00903522315581995
163,0.00858346199800053
164,0.008154288898026607
165,0.0077465744532219105
166,0.007359245730526709
167,0.006991283443994689
168,0.006641719271783586
169,0.0063096333080920886
170,0.005994151642767065
171,0.005694444060736714
172,0.005409721857631666
173,0.00513923576477282
174,0.004882273976591023
175,0.004638160277636416
176,0.004406252263720489
177,0.004185939650710679
178,0.003976642668135355
179,0.003777810534757009
180,0.003588920007928209
181,0.003409474007639801
182,0.003239000307189599
183,0.0030770502918358034
184,0.0029231977773633844
185,0.0027770378883360536
186,0.002638185993987463
187,0.0025062766942482995
188,0.00238096285966094
189,0.0022619147166551556
190,0.0021488189807996605
191,0.0020413780318904173
192,0.0019393091301935783
193,0.0018423436737293741
194,0.0017502264902304887
195,0.001662715165480222
196,0.0015795794072346325
197,0.0015006004368842696
198,0.0014255704151082682
