,mean_lead_days,detection_rate,n_s3_onsets,n_detected_early
Singapore,0.0,0.0,87.0,0.0
Rotterdam,0.0,0.0,258.0,0.0
Shanghai,0.0,0.0,104.0,0.0
Nhava Sheva,0.0,0.0,289.0,0.0
Busan,0.0,0.0,135.0,0.0
Hamburg,0.0,0.0,281.0,0.0
Antwerp,0.0,0.0,103.0,0.0
