,Singapore,Rotterdam,Shanghai,Nhava Sheva,Busan,Hamburg,Antwerp
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shanghai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nhava Sheva,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Busan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
