date,port,disruption_count,disruption_flag,global_article_count
2026-01-20,Shanghai,7,1,7
2026-01-20,Singapore,7,1,7
2026-01-21,Antwerp,9,1,9
2026-01-21,Busan,9,1,9
2026-01-21,Hamburg,9,1,9
2026-01-21,Nhava Sheva,9,1,9
2026-01-21,Rotterdam,9,1,9
2026-01-21,Shanghai,9,1,9
2026-01-21,Singapore,9,1,9
2026-01-22,Antwerp,75,1,75
2026-01-22,Busan,75,1,75
2026-01-22,Hamburg,75,1,75
2026-01-22,Nhava Sheva,75,1,75
2026-01-22,Rotterdam,75,1,75
2026-01-22,Shanghai,75,1,75
2026-01-22,Singapore,75,1,75
2026-01-23,Antwerp,20,1,20
2026-01-23,Busan,20,1,20
2026-01-23,Hamburg,20,1,20
2026-01-23,Nhava Sheva,20,1,20
2026-01-23,Rotterdam,20,1,20
2026-01-23,Shanghai,20,1,20
2026-01-23,Singapore,20,1,20
2026-01-24,Antwerp,12,1,12
2026-01-24,Busan,12,1,12
2026-01-24,Hamburg,12,1,12
2026-01-24,Nhava Sheva,12,1,12
2026-01-24,Rotterdam,12,1,12
2026-01-24,Shanghai,12,1,12
2026-01-24,Singapore,12,1,12
2026-01-25,Antwerp,4,1,4
2026-01-25,Busan,4,1,4
2026-01-25,Hamburg,4,1,4
2026-01-25,Nhava Sheva,4,1,4
2026-01-25,Rotterdam,4,1,4
2026-01-25,Shanghai,4,1,4
2026-01-25,Singapore,4,1,4
2026-01-26,Antwerp,25,1,25
2026-01-26,Busan,25,1,25
2026-01-26,Hamburg,25,1,25
2026-01-26,Nhava Sheva,25,1,25
2026-01-26,Rotterdam,25,1,25
2026-01-26,Shanghai,25,1,25
2026-01-26,Singapore,25,1,25
2026-01-27,Antwerp,44,1,44
2026-01-27,Busan,44,1,44
2026-01-27,Hamburg,44,1,44
2026-01-27,Nhava Sheva,44,1,44
2026-01-27,Rotterdam,44,1,44
2026-01-27,Shanghai,44,1,44
2026-01-27,Singapore,45,1,44
2026-01-28,Antwerp,96,1,95
2026-01-28,Busan,95,1,95
2026-01-28,Hamburg,95,1,95
2026-01-28,Nhava Sheva,95,1,95
2026-01-28,Rotterdam,95,1,95
2026-01-28,Shanghai,95,1,95
2026-01-28,Singapore,95,1,95
2026-01-29,Antwerp,88,1,88
2026-01-29,Busan,88,1,88
2026-01-29,Hamburg,88,1,88
2026-01-29,Nhava Sheva,88,1,88
2026-01-29,Rotterdam,88,1,88
2026-01-29,Shanghai,88,1,88
2026-01-29,Singapore,88,1,88
2026-01-30,Antwerp,64,1,64
2026-01-30,Busan,64,1,64
2026-01-30,Hamburg,64,1,64
2026-01-30,Nhava Sheva,64,1,64
2026-01-30,Rotterdam,64,1,64
2026-01-30,Shanghai,64,1,64
2026-01-30,Singapore,65,1,64
2026-01-31,Antwerp,83,1,83
2026-01-31,Busan,83,1,83
2026-01-31,Hamburg,83,1,83
2026-01-31,Nhava Sheva,83,1,83
2026-01-31,Rotterdam,83,1,83
2026-01-31,Shanghai,83,1,83
2026-01-31,Singapore,83,1,83
2026-02-01,Antwerp,166,1,166
2026-02-01,Busan,166,1,166
2026-02-01,Hamburg,166,1,166
2026-02-01,Nhava Sheva,166,1,166
2026-02-01,Rotterdam,166,1,166
2026-02-01,Shanghai,166,1,166
2026-02-01,Singapore,166,1,166
2026-02-02,Antwerp,152,1,152
2026-02-02,Busan,152,1,152
2026-02-02,Hamburg,152,1,152
2026-02-02,Nhava Sheva,152,1,152
2026-02-02,Rotterdam,152,1,152
2026-02-02,Shanghai,152,1,152
2026-02-02,Singapore,153,1,152
2026-02-03,Antwerp,166,1,166
2026-02-03,Busan,166,1,166
2026-02-03,Hamburg,166,1,166
2026-02-03,Nhava Sheva,166,1,166
2026-02-03,Rotterdam,166,1,166
2026-02-03,Shanghai,166,1,166
2026-02-03,Singapore,166,1,166
